,_SHEET_TYPE,BASECURVE,EURORETAILPRICE,RELEASEDATE,PROTOTYPECODE,GENDER,FRAMECONSTRUCTION,SUNOPTICAL,SIZES,FIT,_BRAND,MATERIALCODE1,BRAND,RXABLE,MATERIALCODE2,COLORCODE,COLORDESCRIPTION,MADEIN,USWHOLESALEPRICE,EUROWHOLESALEPRICE,MATERIALNUMBER,RECOMMENDEDREASONS,USRETAILPRICE,FAMILY,FRAMESHAPE,NOTES,Color_Base,Color_Finish,Is_Multicolor
54,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965C1,U,FULL RIM,Optical,49-19-145,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,False,METAL,265,BLONDE HAVANA,CHINA ONLY,"92,50","71,00",CK24114,Potential ADV; Brand DNA,"250,00",CLASSIC,ROUND,,tortoise,shiny,0
55,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E11427A1,U,FULL RIM,Optical,49-19-145,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,45,SILVER,CHINA ONLY,"92,50","71,00",CK24115,,"250,00",CLASSIC,OVAL,,silver,shiny,0
56,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E11427A1,U,FULL RIM,Optical,49-19-145,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,717,GOLD,CHINA ONLY,"92,50","71,00",CK24115,,"250,00",CLASSIC,OVAL,,gold,shiny,0
57,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E11427A1,U,FULL RIM,Optical,49-19-145,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,770,ROSE GOLD,CHINA ONLY,"92,50","71,00",CK24115,,"250,00",CLASSIC,OVAL,,gold,shiny,0
58,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8223H1,M,FULL RIM,Optical,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,1,BLACK,CHINA ONLY,"92,50","71,00",CK24540,,"250,00",AVANTGARDE,MODIFIED RECTANGLE,,black,shiny,0
59,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8223H1,M,FULL RIM,Optical,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,235,DARK HAVANA,CHINA ONLY,"92,50","71,00",CK24540,,"250,00",AVANTGARDE,MODIFIED RECTANGLE,,tortoise,shiny,0
60,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8223H1,M,FULL RIM,Optical,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,254,HONEY,CHINA ONLY,"92,50","71,00",CK24540,,"250,00",AVANTGARDE,MODIFIED RECTANGLE,,other,shiny,0
61,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8223H1,M,FULL RIM,Optical,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,438,BLUE,CHINA ONLY,"92,50","71,00",CK24540,,"250,00",AVANTGARDE,MODIFIED RECTANGLE,,blue,shiny,0
62,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8644E1,F,FULL RIM,Optical,53-16-140,UNIVERSAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,1,BLACK,CHINA ONLY,"90,50","69,50",CK24541,Potential ADV,"245,00",AVANTGARDE,MODIFIED RECTANGLE,,black,shiny,0
63,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8644E1,F,FULL RIM,Optical,53-16-140,UNIVERSAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,240,HAVANA,CHINA ONLY,"90,50","69,50",CK24541,ADV,"245,00",AVANTGARDE,MODIFIED RECTANGLE,,tortoise,shiny,0
64,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8644E1,F,FULL RIM,Optical,53-16-140,UNIVERSAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,504,PURPLE/LILAC,CHINA ONLY,"90,50","69,50",CK24541,Potential ADV,"245,00",AVANTGARDE,MODIFIED RECTANGLE,,purple,shiny,1
65,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8644E1,F,FULL RIM,Optical,53-16-140,UNIVERSAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,616,WINE/ROSE,CHINA ONLY,"90,50","69,50",CK24541,Potential ADV,"245,00",AVANTGARDE,MODIFIED RECTANGLE,,other,shiny,1
66,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8644B1,M,FULL RIM,Optical,54-19-145,UNIVERSAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,1,BLACK,CHINA ONLY,"90,50","69,50",CK24542,Potential ADV,"245,00",AVANTGARDE,MODIFIED RECTANGLE,,black,shiny,0
67,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8644B1,M,FULL RIM,Optical,54-19-145,UNIVERSAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,235,DARK HAVANA,CHINA ONLY,"90,50","69,50",CK24542,Potential ADV,"245,00",AVANTGARDE,MODIFIED RECTANGLE,,tortoise,shiny,0
68,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8644B1,M,FULL RIM,Optical,54-19-145,UNIVERSAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,280,LIGHT BROWN/CRYSTAL,CHINA ONLY,"90,50","69,50",CK24542,Potential ADV,"245,00",AVANTGARDE,MODIFIED RECTANGLE,,brown,shiny,1
69,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8644B1,M,FULL RIM,Optical,54-19-145,UNIVERSAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,434,PETROL/SMOKE,CHINA ONLY,"90,50","69,50",CK24542,Potential ADV,"245,00",AVANTGARDE,MODIFIED RECTANGLE,,blue,shiny,1
70,Optical,4,"185,00",CALVIN KLEIN - SEP 2024,E8646G1,F,FULL RIM,Optical,52-18-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,1,BLACK,CHINA ONLY,"88,50","68,00",CK24543,,"240,00",CLASSIC,ROUND,,black,shiny,0
71,Optical,4,"185,00",CALVIN KLEIN - SEP 2024,E8646G1,F,FULL RIM,Optical,52-18-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,240,HAVANA,CHINA ONLY,"88,50","68,00",CK24543,,"240,00",CLASSIC,ROUND,,tortoise,shiny,0
72,Optical,4,"185,00",CALVIN KLEIN - SEP 2024,E8646G1,F,FULL RIM,Optical,52-18-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,278,LIGHT BROWN,CHINA ONLY,"88,50","68,00",CK24543,,"240,00",CLASSIC,ROUND,,brown,shiny,0
73,Optical,4,"185,00",CALVIN KLEIN - SEP 2024,E8646G1,F,FULL RIM,Optical,52-18-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,515,VIOLET,CHINA ONLY,"88,50","68,00",CK24543,,"240,00",CLASSIC,ROUND,,purple,shiny,0
74,Optical,4,"185,00",CALVIN KLEIN - SEP 2024,E8646D1,F,FULL RIM,Optical,55-14-145,UNIVERSAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,1,BLACK,CHINA ONLY,"88,50","68,00",CK24544,,"240,00",CLASSIC,MODIFIED RECTANGLE,,black,shiny,0
